ensg,immune,erythroid,skeletal,vasculature
ADCY5,-1.4350296663325433,-1.435176731388454,-0.8752556649426119,3.7454620626636093
HACD2,-0.38259021469543697,-0.9140996742155982,0.6051814852178761,0.6915084036931587
MYLK-AS1,0.006889201250252608,-0.6321828900168185,0.20409965779816586,0.4211940309683999
MYLK,-1.9258625946169574,-3.891757471402994,0.9528743718283055,4.864745694191646
CCDC14,-0.788624897219,0.883447633124061,0.2563038566260749,-0.35112659253113687
KALRN,-3.133583876176969,-2.777457588966337,2.039875069038308,3.8711663961049982
UMPS,-0.6537348264517404,0.3770828343132595,0.11763343527294179,0.15901855686554
ITGB5,-2.90813100793457,-4.117729100842864,4.882677301371391,2.1431828074060415
HEG1,-1.5176748545157746,-4.522097242832938,0.9040938295535903,5.135678267795123
SLC12A8,-0.2810153246550505,-0.449817565964591,0.9905305221409171,-0.25969763152127573
ZNF148,-0.3604023712287274,-1.0881542123312542,0.44690320205674805,1.0016533815032345
SNX4,-0.2446007415548772,0.1538409225603008,-0.10962799272453783,0.20038781171911335
OSBPL11,0.5556970648981987,-0.44224805560008695,-0.2635651000766841,0.1501160907785719
AC092903.2,-0.6461633215541003,-0.8698611389713938,1.3434918245920833,0.17253263593341095
ALG1L,0.27971940532129214,-0.46495066171938965,0.6501819181174872,-0.46495066171938965
SLC41A3,-0.7141338118938632,-2.1719511749420803,1.2906211301197725,1.5954638567161714
ALDH1L1,-0.10056341559305193,-0.46308077319067853,0.35057441464979305,0.21306977413393735
KLF15,-1.0650309823673547,-1.6705570955535414,2.346138507863358,0.38944957005753844
ZXDC,-0.12730091382569242,-0.7477355120640041,0.4747611872811026,0.40027523860859393
CHST13,0.2419710481338342,-1.2688589475501524,2.737633818867697,-1.710745919451379
TXNRD3,-1.1727669120934756,-1.1416224581606977,1.576733343459414,0.7376560267947594
CHCHD6,-0.46884838941692575,-1.6078828275114985,1.4209928383730275,0.6557383785553967
PLXNA1,-1.1050240327265988,-2.3701382005487397,2.407743368575238,1.0674188647001008
AC084035.1,0.062211100966324734,-0.08414115636357658,0.18341677184822067,-0.16148671645096882
TPRA1,-0.9678797852398522,0.22282642541037756,0.38873681211169275,0.35631654771778054
MCM2,0.48645918536070276,3.1124012939694032,-1.995548413612687,-1.6033120657174198
PODXL2,0.07840830987423342,-1.5601847375440938,0.5788527502791638,0.9029236773906963
ABTB1,0.36807827793172976,-1.3476505867567572,0.15868552891939292,0.8208867799056341
MGLL,-1.7889776616291142,-1.7713245591038946,0.1887321991624722,3.3715700215705358
KBTBD12,-0.6105892590312505,0.30023612133301225,-0.04608045931908844,0.3564335970173266
SEC61A1,0.3252621590492133,-1.1813546867445348,0.7586108596490844,0.09748166804623626
RUVBL1,-0.22915010426964066,0.37063603530688294,-0.4965828319728125,0.35509690093556845
EEFSEC,-0.2905563049635682,0.249344271461442,0.40309450488984755,-0.36188247138772134
GATA2,0.5616191405814668,-1.0003650681013672,-2.5101792069379094,2.948925134457809
GATA2-AS1,-0.7407006060656698,0.16919412797986721,-2.37275739407928,2.9442638721650827
LINC01565,0.014750839917219653,-0.004916946639073217,-0.004916946639073217,-0.004916946639073217
RPN1,0.5436039209926751,-1.1570504787317493,0.33117111768530005,0.28227544005377236
RAB7A,0.23060944329429223,-1.535151776444672,0.42077814742243635,0.8837641857279426
AC112484.3,-0.14654724125269447,-0.13136105891721772,-0.2097909932178515,0.48769929338776374
ACAD9,-0.8181234446660466,0.2793831857987872,0.17043431199026804,0.3683059468769909
KIAA1257,0.23525262507861933,-0.6265831601394971,0.2644175877883667,0.12691294727251096
EFCC1,-0.5250718091035058,-1.0357679146274594,-0.5502022717666754,2.111041995497641
GP9,-1.4012848363820054,-0.09023582588611623,-2.385446051172868,3.87696671344099
