"RBP7",104,17,22,43,5,11,3,7,2849,1,29,84,19,5,10,0,1,0,36,20,1272,592,33,581,27,9
"UBE4B",53,177,121,73,65,237,139,32,61,25,55,19,125,32,33,15,13,8,4,89,206,44,35,53,165,50
"KIF1B",549,150,36,164,24,31,106,14,119,31,178,196,170,73,38,20,13,5,22,145,858,579,212,316,145,32
"AL139424.3",1,4,0,4,2,2,2,0,1,0,4,0,1,1,2,1,1,0,0,1,0,0,0,2,2,1
"PGD",1324,99,222,97,57,90,363,14,42,19,147,81,51,22,184,18,108,4,52,796,2074,804,773,286,163,35
"CENPS-CORT",0,4,10,0,2,8,10,0,1,2,2,0,3,0,1,0,0,0,0,2,10,0,0,1,2,0
"CENPS",5,34,173,49,11,282,153,2,17,9,32,7,27,8,16,11,5,1,0,51,118,2,16,0,51,9
"CORT",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DFFA",26,141,135,138,131,67,297,9,81,21,69,39,176,57,120,35,17,8,0,90,251,11,15,2,135,95
"AL354956.1",0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"PEX14",3,63,32,27,14,30,31,2,27,13,15,4,48,8,12,8,4,4,0,15,30,1,2,1,56,18
"CASZ1",15,66,7,13,48,23,39,4,27,32,5,1,150,22,28,4,7,11,0,4,24,10,3,5,15,29
"AL139423.1",0,3,0,0,1,1,3,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,2
"TARDBP",141,430,325,201,219,424,528,32,127,63,182,74,377,72,158,38,45,19,4,444,664,53,182,20,281,209
"MASP2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AL109811.3",1,19,3,7,11,6,12,1,2,6,6,2,15,1,4,3,0,0,0,4,6,0,1,2,8,5
"SRM",32,424,689,346,85,110,640,14,118,66,297,52,363,106,190,46,40,19,0,410,562,15,25,6,2569,131
"EXOSC10",24,139,162,85,52,249,163,5,54,39,67,28,121,29,41,17,12,5,2,88,206,4,23,5,75,49
"AL109811.1",0,5,0,2,2,2,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,4
"AL109811.2",0,0,2,1,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0
"MTOR",14,115,78,46,68,152,118,9,25,16,51,20,105,17,21,14,10,9,1,47,144,9,18,7,89,39
"UBIAD1",27,90,70,55,59,88,113,3,31,21,32,9,88,24,35,9,8,5,1,73,84,3,17,3,77,40
"FBXO2",7,136,2,362,2,1,1,1,9,18,2,2,196,0,0,5,0,3,0,2,7,2,4,1,171,20
"FBXO44",7,132,5,73,15,0,19,2,10,23,23,6,151,13,20,11,2,8,0,6,19,0,5,4,84,42
"FBXO6",30,57,28,36,32,8,38,2,11,37,94,20,88,3,41,4,2,3,0,24,138,16,13,20,142,27
"MAD2L2",29,160,203,99,168,270,643,1,53,63,166,27,197,24,136,27,24,4,2,214,447,20,58,7,223,53
"DRAXIN",1,2,0,2,1,0,33,0,0,17,0,0,6,0,1,1,0,0,0,4,9,2,1,0,0,1
"AGTRAP",407,225,213,161,12,90,115,6,120,91,178,60,353,21,20,36,41,10,10,424,1979,249,213,167,170,24
"C1orf167",0,0,0,12,0,0,1,0,6,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,79,0
"MTHFR",45,98,171,93,49,156,128,17,101,21,218,51,110,82,65,11,13,4,0,71,409,20,20,12,142,89
"CLCN6",6,17,14,39,32,21,42,2,13,8,36,31,17,12,18,3,2,1,0,13,98,3,7,2,34,38
"NPPA-AS1",3,5,0,2,5,2,3,3,4,0,1,5,6,1,0,1,0,0,0,3,8,0,0,0,2,1
"KIAA2013",81,157,89,161,146,107,189,12,77,64,96,52,217,38,98,16,10,15,6,159,410,67,49,56,313,93
"PLOD1",25,5,28,220,0,35,20,3,71,18,41,39,6,31,10,3,4,0,0,34,162,29,4,12,86,4
"MFN2",207,63,104,56,22,261,90,193,64,23,58,50,76,33,24,18,10,3,8,175,351,154,100,107,74,37
"MIIP",109,161,85,90,58,140,100,12,40,31,88,29,151,38,154,17,11,9,2,96,331,55,84,21,95,58
"TNFRSF8",4,1,1,1,0,2,1,0,9,0,10,1,0,0,3,0,1,0,0,0,25,4,1,5,0,1
"TNFRSF1B",220,1576,138,58,33,199,157,11,283,533,1448,440,2156,25,468,55,9,113,31,54,4342,440,109,684,100,176
"VPS13D",70,187,79,113,73,129,110,6,103,33,67,53,207,35,86,21,14,2,2,76,253,34,29,16,82,78
"DHRS3",8,216,104,256,1,164,44,2,83,49,100,111,176,76,2,20,2,18,0,15,69,4,4,6,10,0
"AC254633.1",0,1,1,1,0,1,1,0,0,0,2,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"LRRC38",0,0,0,1,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL354712.1",0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",1,0,5,689,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,2,3,1,0,0
"PRDM2",318,954,137,269,710,259,705,23,148,169,231,99,1073,67,168,80,50,56,15,281,645,133,254,96,716,1055
"KAZN",14,7,12,176,4,1,22,2,72,0,1,0,1,97,0,0,1,0,3,6,3,27,2,38,6,0
"TMEM51",0,3,1,15,0,0,4,0,24,0,24,36,0,93,0,0,0,0,0,2,42,0,4,1,16,0
"FHAD1",0,3,0,17,0,1,1,0,2,1,0,3,1,9,0,1,0,0,0,0,3,0,0,0,5,0
